x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
0.0037185757,-0.0033456809,0.0496323866,0.01,0.0014911849,-0.0013758231,0.0,146.7356,2.1725920760218287e-06,1.631500026633148e-06,-1.4347000387715525e-06
0.0033457,-0.0037157,0.0,0.01,0.0,0.0,0.0,3.147409,0.0,0.0,0.0
0.0033440088,-0.0037171705,0.0003514996,0.01,-3.3141e-05,2.39442e-05,0.0,5.180842,3.0784573112896396e-08,8.799999839936845e-09,2.9500000664484105e-08
0.0033457,0.0037157,0.05,0.01,0.0,0.0,0.0,72.97227,0.0,0.0,0.0
0.0033454848,0.003718634,0.0496317803,0.01,0.001326988,0.0014719534,0.0,153.892,2.0739769297506427e-06,1.3884999816582422e-06,1.5406000102302642e-06
-0.0037157,0.0033457,0.05,0.01,0.0,0.0,0.0,86.62214,0.0,0.0,0.0
-0.0037222342,0.0033414732,0.0496425,0.01,-0.0014454181,0.0013035456,0.0,162.2209,2.0589918676705565e-06,-1.5342000097007258e-06,1.373200007037667e-06
-0.0037157,-0.0033457,0.0,0.01,0.0,0.0,0.0,1.715261,0.0,0.0,0.0
-0.0037209061,-0.0033398486,0.0003765872,0.01,-4.06394e-05,-8.64134e-05,0.0,4.861875,3.49834259338877e-08,-2.7200000474181252e-08,2.2000000043931323e-08
-0.0033457,-0.0037157,0.05,0.01,0.0,0.0,0.0,102.774,0.0,0.0,0.0
-0.0033415315,-0.0037222301,0.0496267839,0.01,-0.0012783319,-0.0014763944,0.0,178.9365,2.1263167582219467e-06,-1.4155999679132947e-06,-1.5865999785091844e-06
-0.0033457,0.0037157,0.0,0.01,0.0,0.0,0.0,1.392681,0.0,0.0,0.0
-0.0033403209,0.0037204579,0.0003770125,0.01,4.504e-06,-1.80356e-05,0.0,5.062577,2.3558650141808357e-08,-2.3000000126671694e-08,5.099999977886682e-09
-0.0005225731,0.0049726,0.05,0.01,0.0,0.0,0.0,66.76931,0.0,0.0,0.0
-0.000531477,0.0049734433,0.0496200664,0.01,-0.0002197716,0.0020038876,0.0,155.1816,2.147659415641101e-06,-2.156999983071728e-07,2.1368000489019323e-06
-0.0005225731,-0.0049726,0.0,0.01,0.0,0.0,0.0,3.005137,0.0,0.0,0.0
-0.0005306838,-0.0049713231,0.0003752727,0.01,-6.60226e-05,-6.0286e-05,0.0,6.088914,1.8483506281086193e-08,-1.4999999464748726e-08,1.0800000005417587e-08
-0.0010395,0.0048907,0.05,0.01,0.0,0.0,0.0,130.0008,0.0,0.0,0.0
-0.0010395,-0.0048907,0.0,0.01,0.0,0.0,0.0,5.9478,0.0,0.0,0.0
-0.0048984347,0.0009912543,-0.0,0.01,0.0,0.0,0.0,4.958569,0.0,0.0,0.0
-0.004897695,-0.0009959288,0.05,0.01,0.0,0.0,0.0,120.9571,0.0,0.0,0.0
0.0049736407,0.0005260356,0.0495937659,0.01,0.0021031434,0.0002104182,0.0,97.48864,2.278133706568042e-06,2.268599928356707e-06,2.082000065684042e-07
0.0049695962,-0.0005371769,0.0004075724,0.01,1.05074e-05,2.19266e-05,0.0,4.79962,5.66095401666189e-08,2.800000054037355e-08,4.9200000518112574e-08
-0.0040421018,0.0029508386,0.0489337976,0.01,-0.0050070259,0.0036989478,0.0,148.9897,7.4348981797811575e-06,-5.99490022068494e-06,4.397600150696235e-06
-0.0043858643,0.0024167129,0.048444834,0.01,-0.0079702738,0.0044234994,0.0,240.1252,1.2020840586046688e-05,-1.055370012181811e-05,5.755000074714189e-06
-0.0044300398,0.0023293082,0.0488030975,0.01,-0.0062028385,0.0032460849,0.0,192.8005,8.638610779598821e-06,-7.686499884584919e-06,3.942499915865483e-06
-0.002946387,-0.0040454725,0.0489434548,0.01,-0.0034051071,-0.0048560221,0.0,128.5319,7.238990747282514e-06,-4.254100076650502e-06,-5.857099949935218e-06
-0.0024027323,-0.0043925514,0.048451881,0.01,-0.0040504582,-0.0077923546,0.0,227.3107,1.1713441381289158e-05,-5.606400009128265e-06,-1.0284599738952238e-05
-0.0023228346,-0.0044330208,0.0488083979,0.01,-0.0029223159,-0.0060624912,0.0,202.7703,8.454874659946654e-06,-3.8023999877623282e-06,-7.551599992439151e-06
-0.0029496291,0.0040335702,0.0010667621,0.01,-5.8402e-06,-3.03229e-05,0.0,0.4004725,4.980813272936757e-08,-4.7099998568000956e-08,-1.619999956403717e-08
